passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,dropoff
29610,7549.154034,196792.30007725,589511.5,18622.969866991,658588.784190655,17351,BX46
29504,6005.888424,151603.940009497,462579,14990.4699006081,517713.282917976,15662,BX59
116469,34099.807388,1056963.6299119,3900362.59012661,43483.0297138393,4398476.09927471,70251,LI
413414,54367.437259,972724.98990739,3557648.95000339,42877.2997454908,4146997.15634274,242209,MN06
8467860,1260540.947451,20260339.0408399,76223079.5000471,673969.174923059,89569799.7132885,4942288,MN25
4670170,582129.833549,6616420.7082757,30796591.3900142,63721.1694892347,36561312.0384946,2621904,MN27
26584,4704.972978,112030.810053673,354540.409999238,7817.26993393898,392131.171821484,15179,QN02
11219,3735.913183,110176.770013057,313283.879997253,18609.9598791599,362574.861583233,6170,QN10
90872,19048.233934,400299.110187707,1297684.47000004,66862.7596048266,1519987.77397324,53211,QN21
24786,5629.912227,137503.220024921,420249,13025.1899237633,474523.922151089,14229,QN23
20664,5255.360669,151803.510015614,441117.27,12806.8999183662,503411.001937646,11953,QN42
25411,5392.437256,134041.400034642,411884.5,19448.9499057829,479157.523091793,15028,QN62
63652,11276.525772,276867.91000635,892019.910004864,29384.3097929955,1013505.67690159,36132,QN76
68313,15100.208945,347245.890005494,1103537.13000587,77847.4991343915,1321010.1152368,37328,QN95
21023,5940.563384,168236.21004237,489674.5,15317.7899058908,560222.832583427,12062,BK27
300569,61506.300749,926519.050092913,3427911.30999924,3841.99997001514,3914770.51164485,174320,BK35
41693,13439.414302,284319.089947397,892233.309999237,9428.41994942166,979234.50155426,24607,BK58
142478,33081.214613,553710.049977835,1940059.09999895,1367.82999000885,2216016.6306181,83029,BK63
549656,101069.472307,1572222.7000424,5815795.86000204,6992.99994507246,6724670.20324206,319474,BK75
27200,5756.134234,128481.590046037,408077.369999696,13755.9698965549,455353.351602841,15598,BX27
17222,4238.837211,100433.589992516,310707.699999809,6290.93995881081,337987.611730099,9937,BX40
33711,8220.462871,237495.790082121,693379.960006714,27996.6397988796,791585.335062504,19039,BX52
94449,18122.395258,365808.250134012,1218614.83000042,24621.7898153458,1365920.00342013,53546,BX63
24612004,2590143.871010,28962509.5686955,140909374.740037,1394697.13087632,170610342.313809,14446910,MN13
18308815,2044213.418192,24556010.8630356,114399980.740017,2211892.5650983,137580780.28311,10840324,MN19
6684592,647277.112005,7901720.64780188,37144047.6900162,488956.237001514,45495298.2581782,3920231,MN21
2961987,343672.855320,4692637.45859304,20046783.7300051,62098.4495200608,23836558.7426088,1731806,MN28
2698118,282528.699105,4302401.68900379,17501504.730001,208412.40871012,20698710.1762405,1607513,MN33
1789178,200570.926591,3382564.29885534,12791375.330003,176594.188893242,14971178.7733771,1059506,MN34
8553,2151.440023,53549.9899906795,162212.75,3629.71998023987,179611.890555859,4902,QN07
5420,1904.569927,49829.6099480279,146462,7213.41995168664,167373.890550613,3090,QN12
69293,13811.942069,295866.600058632,958940.5,32973.5297555346,1082161.30499506,40226,QN25
103598,18928.411079,372971.80001143,1253158.24000288,56777.2396300118,1439405.84106588,60269,QN30
59402,12223.411992,297062.570078898,920320.630001068,39290.329797158,1070608.11601448,34781,QN37
26913,6451.066871,168541.660028128,501393.840001831,14305.7799219117,570682.322300673,15979,QN41
19237,4950.110792,152516.380028808,439284.5,12036.579920426,501185.341921806,10941,QN45
428426,60307.632440,967534.070200576,3635982.67999946,23464.5898744389,4172226.24192225,252756,QN68
11378,3635.748684,104181.640042262,300716.5,6138.3499481678,329660.121397495,6363,BK21
1439650,302229.219376,4981613.62046296,17776792.9200051,196726.758717826,21097647.5179188,839629,BK37
31351,10068.236399,256742.90006005,762350.990005493,14489.5699021816,849640.052891731,17887,BK45
556449,119548.971713,1938589.87004585,6910249.96000528,5656.74995398708,7978586.25280952,324097,BK61
26425,7492.221501,133051.119988756,447723.829999924,1041.26999187469,481565.910144329,15363,BK81
7038,1836.840314,44220.3400197029,135440.799999237,1198.15999507904,146650.060325623,4156,BK93
3712,1098.847605,31273.6299919412,90097,1361.73998980597,101698.360184431,1971,BK98
19029,4440.950980,95321.9200637676,305212,6704.84995818138,335783.251488686,11010,BX01
21653,4996.012873,129583.429962179,390855.159993896,10970.7299258709,429493.432234058,12604,BX08
155698,24133.372160,483565.600156309,1637935.03999116,35979.8897347879,1836877.43277412,90714,BX39
24169,5376.197866,137292.329966692,417501,11244.379913101,458095.072046995,14052,BX55
214979,44429.939070,1150216.05032689,3512900.49000168,49862.1697011087,4036551.77869868,125711,MN01
1482449,190011.161909,3056098.60016588,11674382.3400004,184455.14871284,13816952.9255366,863077,MN11
17831151,1875178.152456,21528983.4942944,101955395.530045,646878.395450937,123817873.965729,10339767,MN23
974038,168586.817287,3836540.8010585,12467226.8900094,154707.089060821,14384869.5504949,572651,MN36
393985,38703.258348,486597.98983237,2170029.13999987,24313.2399477828,2577420.04490852,201601,MN99
14543,2829.222523,78373.260005787,233869.46000267,3699.05997657776,257509.840659389,8548,QN05
169958,31656.990383,721906.110126618,2294197.1000016,207602.119563365,2831896.28355267,90827,QN27
20118,4981.129130,150300.300034719,434395.5,12536.7999324799,492740.202020645,11589,QN47
16343,4036.561930,107235.090033993,318259.5,10299.4399394989,364796.081498146,9270,QN48
18096,4504.982851,106054.589974204,326364.349998474,11859.7499155998,372816.532117367,10429,QN52
93245,22500.124814,535519.640151789,1724711.83000065,77126.5695419312,2012254.46697641,53007,QN55
369225,57011.439075,1025750.42005366,3633688.04000267,40023.3997647017,4104456.91314444,216590,QN63
406780,65952.600843,1184176.00991496,4149636.030007,51846.5696740896,4858917.99339545,241101,QN71
