passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup,dropoff
32,8.872493,252.720000267029,735.5,0,806.399997711182,19,QN68,QN07
2,0.456110,12.9000000953674,40,0,42,2,QN54,QN66
2,0.528610,7.42000007629395,30.5,0,32.5,2,BK21,BK44
1,0.850000,27.5599994659424,76,0,77,1,BK21,BX41
4,3.531943,69.9900016784668,228.5,0,237,4,BK82,QN68
58,8.654155,122.220000982285,490,0,560.719997406006,32,BK50,BK61
17,4.654995,119.659999847412,353.5,52.2399997711182,435.560009002686,10,MN36,QN23
24,1.743051,23.1999998092651,102,0,110,10,BX33,BX63
3593,872.217941,17982.8400167823,57786,6424.21999263763,73333.5307540894,1792,MN14,QN27
100,18.712196,427.490000247955,1360,0,1478.4700012207,54,QN72,QN52
2,1.683888,47.2000007629395,120.5,15,136,2,BK25,NJ
33260,4761.110898,79208.0000469834,290856.5,1137.58999160677,341819.130351067,19686,MN19,QN71
1936,348.065385,8525.24000394344,26707,10.6599998474121,30252.0099945068,1146,MN50,MN03
9,2.066387,66.5399990081787,186.5,0,206.200000762939,4,BK76,QN66
8,2.807499,54.6099996566772,167,0,204.399997711182,4,QN51,BK37
3699,397.271368,5772.17999427766,24192,21.3199996948242,28167.1000180244,2232,QN68,BK76
1302,292.220528,6710.49000895023,20935.5,21.3199996948242,23068.3600063324,787,MN12,BX17
271,56.783832,1273.66999590397,6432.5,405.639996528625,7739.17012214661,139,QN30,MN25
9,4.902220,123.189999580383,365,15.460000038147,421.700000762939,8,MN04,QN19
2,1.007777,31.7000007629395,84.5,0,86,1,BK45,BX41
145,57.021363,1348.21000027657,4110.5,242.529997825623,4813.56003952026,85,MN14,BK27
33,4.667771,105.389999866486,326.5,0,346.5,21,BK82,QN54
1208,282.411678,4451.19001239538,15800,0,18000.0900211334,672,BK37,QN20
336,33.239908,508.859999299049,2131,0,2351.49000072479,225,QN26,QN63
128102,13457.829732,116576.539927265,680548.079999924,34.3500001523644,821321.230021238,76831,MN50,MN13
2,0.426666,11,32,0,33.5,1,QN62,BK81
6032,1571.186195,23508.060013473,85363.5,1242.02998733521,101928.300191879,3433,MN13,BK92
184,35.873846,572.679996967316,2049.5,0,2377.7499961853,104,BK78,BK92
12,5.845553,122.739998877048,381.5,10.6599998474121,471.390007019043,9,BK82,MN11
17,6.463606,199.339999198914,691,104.989999771118,910.059997558594,10,BK41,EWR
2,1.320832,50.7000007629395,138.5,10.6599998474121,160.660003662109,2,BK42,BX13
1133,128.453048,1919.05999743938,7734,0,8526.14999675751,688,QN28,QN25
322,60.251048,990.08000344038,3494,37.3099994659424,4023.24000072479,165,BK42,MN27
23,3.908052,75.1300015449524,249.5,10.1300001144409,289.340000152588,11,QN21,BK83
8,2.785832,86.8300008773804,244.5,0,259.5,6,BK09,QN48
2,0.539999,16.1399993896484,67,0,68.5,2,NYS,BX31
134,28.447470,429.959999322891,1582.5,5.32999992370605,1774.34000205994,75,MN30,QN29
1,0.378333,15.6999998092651,43,0,52.7999992370605,1,QN48,BK82
118,25.692749,490.789997816086,1665.5,0,1909.61000061035,73,BK68,BK46
6,3.196108,85.25,250,10.6599998474121,286.76000213623,6,BK61,BX39
4,1.217221,28.1000003814697,86,0,109.650001525879,2,BX39,BK63
11459,2291.337977,47482.4600305408,154151.25,21.8199996948242,175117.64007473,6613,MN21,MN03
6879,1735.996032,42641.6699977666,129146.840000004,3791.34997844696,151908.6104258,3845,MN25,QN28
369,68.439082,1161.59000134468,4090,0,4394.20999908447,212,QN28,QN20
6,0.383333,17.9400005340576,48,0,48.5,1,BK99,BK26
20,1.975550,33.9000000059605,142.5,0,158,16,BK45,BK44
41,11.754435,295.369999885559,901.5,0,1010.79999923706,23,BK76,BK44
1,0.444166,19.2999992370605,52.5,4.80000019073486,68.8000030517578,1,BX44,QN66
2370,199.330548,2820.70999888703,12722,31.9799995422363,14477.0999994278,1377,QN28,QN50
415,148.184095,4572.32000350952,12809,1090.75998926163,15267.3101863861,208,MN20,QN10
72,13.019707,332.47000169754,1038.5,219.089999198914,1315.43999481201,46,QN28,BX34
4,1.528609,45.9600005149841,148.5,0,152.5,4,BK75,QN03
5,1.704164,20.9600000977516,87.5,0,101.700000762939,5,BX41,MN22
1085,547.205519,14341.9199855402,82174.7000045776,9404.6199798584,102645.710712433,833,QN72,NJ
1,0.331388,8.89999961853027,27,0,35,1,BK82,MN01
170,17.041629,276.289998963475,1125.5,10.6599998474121,1257.75999927521,101,BK42,BK25
2,0.252222,8.43999981880188,27.5,0,29,2,BX44,BX55
7,1.116666,24.6300001144409,76,0,86.189998626709,2,BK81,QN34
10545,1589.697307,27527.0800019503,97456,2045.80998420715,114160.290069103,6205,QN70,MN32
103,16.098302,233.989999294281,918,0,1035.21999645233,67,BK35,BK85
70,8.683317,88.1599998474121,438.5,0,502.400000572205,45,MN01,BX40
4,0.282500,4.46000003814697,19,0,20.5,2,BK93,BK83
77,25.093316,414.659998893738,1427.5,0,1584.96999740601,42,QN31,BK91
2,0.676388,27.1999998092651,75.5,0,77.5,2,QN26,QN05
